title,popularity,vote_count,vote_average,genre,release_year
Finch,348.942,2075,8.1,"Science Fiction, Drama, Adventure",2021
Two,342.661,207,5.4,"Thriller, Horror",2021
PAW Patrol: The Movie,339.374,855,7.5,"Animation, Family, Adventure, Comedy",2021
Avengers: Infinity War,338.402,24079,8.3,"Adventure, Action, Science Fiction",2018
Batman,338.272,6109,7.2,"Fantasy, Action",1989
Black Widow,337.651,7127,7.5,"Action, Adventure, Science Fiction",2021
The Wonderful Winter of Mickey Mouse,333.354,3,5.7,"Animation, Comedy",2022
F9,331.944,5092,7.3,"Action, Crime, Thriller, Adventure",2021
Moonfall,328.678,186,5.9,"Action, Adventure, Science Fiction",2022
"Sex, Shame and Tears 2",325.624,5,2.2,"Comedy, Drama",2022
Diary of a Wimpy Kid,324.706,189,6.5,"Animation, Comedy, Family",2021
AI Love You,317.643,16,5.3,"Comedy, Romance, Science Fiction",2022
Sonic the Hedgehog 2,317.159,0,0,"Action, Science Fiction, Comedy, Family",2022
Erax,317.102,12,5.7,"Mystery, Family",2022
Deathstroke: Knights & Dragons - The Movie,314.388,325,6.9,"Animation, Action, Adventure, Science Fiction",2020
The Last Duel,312.916,1848,7.6,"Action, Drama, History",2021
The Pirates: The Last Royal Treasure,311.94,38,6.6,"Action, Adventure, Comedy, History",2022
Paranormal Activity: Next of Kin,310.011,300,6.5,"Horror, Mystery, Thriller",2021
House of Gucci,308.214,1276,6.8,"Drama, Crime, Thriller",2021
Dark Spell,308.037,80,6.7,"Romance, Horror, Thriller",2021
Jungle Cruise,307.936,4034,7.6,"Action, Adventure, Comedy, Fantasy",2021
Godzilla vs. Kong,307.521,7681,7.8,"Action, Fantasy, Science Fiction",2021
The Amazing Spider-Man,306.376,14564,6.7,"Action, Adventure, Fantasy",2012
Heart Shot,302.272,16,5.6,"Romance, Crime",2022
Avatar,297.357,25011,7.5,"Action, Adventure, Fantasy, Science Fiction",2009
Mobile Suit Gundam Hathaway,292.604,77,7.8,"Animation, Action, Drama, Science Fiction",2021
Army of Thieves,290.54,1167,6.9,"Crime, Comedy",2021
UFO,290.481,15,5.2,"Drama, Romance",2022
The Weekend Away,290.206,119,5.9,"Thriller, Mystery",2022
The Croods: A New Age,284.798,2877,7.6,"Animation, Family, Adventure, Fantasy, Comedy",2020
Back to the Outback,282.246,341,7.7,"Animation, Family, Adventure, Comedy",2021
The Tomorrow War,282.068,5182,8,"Action, Science Fiction, Adventure",2021
Home Team,280.613,368,6.9,"Family, Comedy",2022
The Fallout,279.344,130,7.4,Drama,2021
Raya and the Last Dragon,277.59,5048,8,"Family, Fantasy, Animation, Action, Adventure",2021
Infinite,276.461,912,6.8,"Science Fiction, Action, Thriller",2021
Wrath of Man,273.622,3376,7.7,"Action, Crime, Thriller",2021
Fortress,273.35,163,6.2,"Crime, Action, Thriller",2021
Space Jam: A New Legacy,271.573,2952,7.1,"Family, Animation, Comedy, Science Fiction",2021
Laura y el misterio del asesino inesperado,266.754,8,7.3,"TV Movie, Mystery, Thriller, Comedy",2022
The Conjuring: The Devil Made Me Do It,266.614,4233,7.7,"Horror, Mystery, Thriller",2021
Batman Begins,265.806,17338,7.7,"Action, Crime, Drama",2005
The Royal Treatment,264.99,390,6.8,"Romance, Comedy",2022
Ciao Alberto,261.672,412,7.5,"Animation, Comedy, Family, Fantasy",2021
Gone Mom: The Disappearance of Jennifer Dulos,257.852,113,7.8,"TV Movie, Thriller, Crime",2021
Ripper Untold,257.473,75,6.6,Horror,2021
Meander,256.866,218,6.1,"Horror, Science Fiction, Drama, Thriller",2021
Zeros and Ones,256.443,117,5.3,"Thriller, War",2021
Snake Eyes: G.I. Joe Origins,254.31,1028,6.8,"Action, Adventure",2021
Survive the Game,252.22,107,5.8,"Action, Thriller, Crime",2021
Apex,249.46,402,5.4,"Action, Thriller, Science Fiction",2021
The Tinder Swindler,246.652,455,7.1,"Documentary, Crime",2022
Love Tactics,244.573,83,6.7,"Romance, Comedy",2022
The Addams Family 2,244.18,785,7.2,"Animation, Adventure, Comedy, Family",2021
Dynasty Warriors,242.342,84,6.5,"Action, Adventure, Fantasy",2021
Miraculous World: Shanghai – The Legend of Ladydragon,241.638,411,7.9,"Animation, Comedy, Family, Adventure",2021
"Miraculous World: New York, United HeroeZ",240.048,862,8.3,"Animation, Family, Comedy, Adventure, TV Movie",2020
Surviving Paradise: A Family Tale,240.002,7,6.9,Documentary,2022
My Hero Academia: Heroes Rising,239.599,890,8.4,"Animation, Action, Fantasy, Adventure",2019
Amina,237.262,92,6.5,"War, History, Drama",2021
Encounter,235.482,256,6.4,"Adventure, Drama",2021
Son,232.494,90,6,"Horror, Thriller",2021
Wonder Woman 1984,231.756,6599,6.6,"Action, Adventure, Fantasy",2020
The Amazing Spider-Man 2,231.441,10763,6.5,"Action, Adventure, Fantasy",2014
The Whole Truth,231.334,109,6.5,Horror,2021
Catwoman: Hunted,231.061,26,6.2,"Animation, Action, Crime",2022
Hacksaw Ridge,230.758,10667,8.2,"Drama, History, War",2016
Crazy Fist,230.547,44,7.3,Action,2021
Harry Potter and the Philosopher's Stone,230,22210,7.9,"Adventure, Fantasy",2001
The Avengers,229.772,26490,7.7,"Science Fiction, Action, Adventure",2012
Dragon Fury,229.215,34,6.1,"Horror, Fantasy, Mystery",2021
Tarumama,228.895,19,5.1,"Horror, Drama",2021
Doctor Strange,228.266,18471,7.4,"Action, Adventure, Fantasy, Science Fiction",2016
Halloween Kills,227.825,1585,6.8,"Horror, Thriller",2021
The Exorcism of God,226.771,7,5.6,Horror,2022
Spider-Man: Far From Home,224.034,12176,7.5,"Action, Adventure, Science Fiction",2019
Harry Potter 20th Anniversary: Return to Hogwarts,222.907,1105,8,Documentary,2022
After We Collided,221.992,4481,7.3,"Romance, Drama",2020
The Desperate Hour,221.838,21,5.8,Thriller,2022
Dragon Ball Z: Resurrection 'F',220.049,1361,6.8,"Action, Animation, Science Fiction",2015
Seal Team,220.017,126,7.1,"Animation, Family, Comedy",2021
Knowing,218.406,4251,6.1,"Action, Mystery, Science Fiction, Thriller",2009
Witch Hunt,217.266,145,7.2,"Fantasy, Horror, Thriller, Drama",2021
The Maze Runner,215.466,14398,7.2,"Action, Mystery, Science Fiction, Thriller",2014
The Unholy,214.999,1543,6.8,Horror,2021
Ashfall,212.134,357,6.6,"Action, Adventure, Thriller",2019
The Sky Is Everywhere,211.618,16,5.8,"Drama, Romance, Music",2022
Time Is Up,211.613,250,6.2,"Romance, Drama",2021
The Deep House,211.563,527,6.5,Horror,2021
Boruto: Naruto the Movie,211.071,996,7.7,"Animation, Action, Comedy",2015
Harry Potter and the Chamber of Secrets,210.837,17901,7.7,"Adventure, Fantasy",2002
Sonic the Hedgehog,210.751,7559,7.4,"Action, Science Fiction, Comedy, Family",2020
Ava,210.438,130,6,Drama,2017
Fury,210.26,9757,7.5,"War, Drama, Action",2014
Don't Breathe 2,209.059,1490,7.4,"Thriller, Horror",2021
Matando Cabos 2: La Máscara del Máscara,209.018,70,7.8,"Action, Comedy, Adventure",2021
Monster Hunter,208.742,2460,6.8,"Action, Fantasy, Adventure",2020
The Last: Naruto the Movie,208.37,1139,7.9,"Action, Romance, Animation",2014
Spider-Man: Homecoming,207.817,18174,7.4,"Action, Adventure, Science Fiction, Drama",2017
Bigbug,207.027,176,5.4,"Science Fiction, Comedy",2022
Spider-Man,206.376,15336,7.2,"Fantasy, Action",2002
Avengers: Endgame,205.308,20521,8.3,"Adventure, Science Fiction, Action",2019
Old,205.157,2288,6.6,"Thriller, Mystery, Horror",2021
Real Steel,203.843,6561,6.9,"Action, Science Fiction, Drama",2011
Love and Leashes,203.743,68,6.3,"Romance, Comedy",2022
After,203.008,6973,7.2,"Romance, Drama",2019
The Forever Purge,202.704,1652,7.3,"Horror, Action, Thriller",2021
Tall Girl 2,202.01,127,6,"Comedy, Drama, Romance",2022
Dog,200.253,32,8.3,"Drama, Comedy",2022
I Am Legend,199.248,13042,7.2,"Drama, Science Fiction, Thriller",2007
Naruto Shippuden the Movie,198.011,418,7.2,"Animation, Action, Fantasy",2007
Tom & Jerry,197.721,1948,7,"Comedy, Family, Animation",2021
Against the Ice,195.989,117,7,"Adventure, History, Drama",2022
An Egg Rescue,194.622,295,8.1,"Animation, Comedy",2021
Harry Potter and the Goblet of Fire,193.459,16947,7.8,"Adventure, Fantasy, Family",2005
