title,popularity,vote_count,vote_average,genre,release_year
The Road to El Dorado,57.012,3073,7.2,"Family, Adventure, Animation, Comedy, Action",2000
Igor,57,461,6,"Animation, Comedy, Family, Fantasy",2008
Red Dawn,56.998,1278,5.6,"Action, Thriller",2012
"Batman: The Dark Knight Returns, Part 2",56.979,1109,8,"Science Fiction, Action, Animation, Mystery",2013
13 Assassins,56.908,823,7.3,"Adventure, Drama, Action",2010
Pearl Harbor,56.889,5198,6.9,"Action, War, History, Romance, Drama",2001
Ray Donovan: The Movie,56.863,87,6.9,"Drama, TV Movie",2022
Breathless,56.737,32,5.9,"Crime, Drama, Thriller",2021
Scary Movie 4,56.705,2566,5.5,Comedy,2006
The Mask,56.696,8236,6.9,"Romance, Comedy, Crime, Fantasy",1994
Never Back Down: No Surrender,56.669,364,7,"Drama, Action",2016
American Pie Presents: Beta House,56.663,1537,5.6,Comedy,2007
The Kissing Booth 2,56.629,4441,7.8,"Comedy, Romance",2020
Hitman's Wife's Bodyguard,56.626,1279,6.8,"Action, Comedy, Thriller",2021
House of Wax,56.605,2330,5.9,"Horror, Drama",2005
6 Underground,56.552,3619,6.3,"Action, Thriller, Comedy",2019
Final Destination 3,56.535,2990,6.1,"Horror, Mystery",2006
Ocean's Eight,56.518,6954,7,"Crime, Comedy, Action",2018
Nocturnal Animals,56.485,6350,7.5,"Drama, Thriller",2016
Just Say Yes,56.449,172,6.6,"Comedy, Romance",2021
Rise of the Planet of the Apes,56.405,9759,7.3,"Thriller, Action, Drama, Science Fiction",2011
The Call of the Wild,56.404,2827,7.6,"Adventure, Family, Drama",2020
Nightcrawler,56.378,8766,7.7,"Crime, Drama, Thriller",2014
Monster House,56.328,3141,6.6,"Animation, Comedy, Family, Fantasy",2006
Insidious: The Last Key,56.299,2193,6.2,"Horror, Mystery, Thriller",2018
Pets United,56.288,148,6,"Animation, Family, Adventure, Comedy",2019
Slate,56.282,6,5.5,"Action, Comedy",2020
Alvin and the Chipmunks,56.239,3645,5.8,"Comedy, Family, Fantasy, Animation",2007
Just a Breath Away,56.235,611,6.3,"Drama, Science Fiction, Thriller",2018
28 Days Later,56.214,5230,7.2,"Horror, Thriller, Science Fiction",2002
The Wizard of Oz,56.211,4454,7.6,"Adventure, Fantasy, Family",1939
After Earth,56.19,5707,5.2,"Science Fiction, Action, Adventure",2013
Norbit,56.179,1795,5.6,Comedy,2007
The Boy and the Beast,56.152,1161,8,"Animation, Fantasy, Action, Adventure, Drama",2015
Dirty Grandpa,56.129,3718,5.9,Comedy,2016
The Lion Guard: Return of the Roar,56.128,824,6.5,"Family, TV Movie, Animation",2015
The Emoji Movie,56.122,2487,5.6,"Animation, Family, Comedy",2017
One Piece Film: GOLD,56.06,324,7.2,"Action, Animation, Adventure, Comedy",2016
Rocky IV,56.051,3362,7,Drama,1985
Batman: Under the Red Hood,56.038,1228,7.8,"Science Fiction, Crime, Action, Animation, Mystery",2010
Brother Bear 2,56.015,1190,6.7,"Adventure, Animation, Family",2006
Scream 3,56.004,2436,5.9,"Horror, Mystery",2000
Chicken Run,55.993,3948,6.7,"Animation, Comedy, Family",2000
The Doorman,55.98,275,5.9,"Action, Thriller",2020
Maya the Bee: The Golden Orb,55.968,67,6.6,"Adventure, Animation, Family",2021
Jaws,55.944,8169,7.6,"Horror, Thriller, Adventure",1975
Night at the Museum: Battle of the Smithsonian,55.924,5760,6.1,"Adventure, Fantasy, Action, Comedy, Family",2009
Sharkdog’s Fintastic Halloween,55.817,4,4,"Animation, Fantasy, Family",2021
The Call,55.79,2448,6.8,"Crime, Thriller",2013
Mariposa,55.774,3,7.2,"Drama, Romance",2020
Bad Boys,55.763,5088,6.8,"Action, Comedy, Crime, Thriller",1995
Sijjin 6,55.733,33,5.7,Horror,2019
The Mermaid,55.695,250,6.4,"Comedy, Fantasy, Romance",2016
My Neighbor Totoro,55.688,5988,8.1,"Fantasy, Animation, Family",1988
Men in Black,55.679,11431,7.2,"Action, Adventure, Comedy, Science Fiction",1997
El Infierno,55.638,413,7.7,"Drama, Crime, Comedy",2010
Ong Bak: Muay Thai Warrior,55.636,1310,7.1,"Action, Thriller",2003
The Beverly Hillbillies,55.619,405,6.1,Comedy,1993
Alien,55.614,11421,8.1,"Horror, Science Fiction",1979
Fantastic Four,55.59,5078,4.4,"Action, Adventure, Science Fiction",2015
The Curse of La Llorona,55.585,1865,5.7,"Horror, Thriller",2019
Den of Thieves,55.498,2269,6.7,"Action, Thriller, Crime",2018
Home on the Range,55.377,1627,6,"Animation, Family",2004
Pulp Fiction,55.352,22733,8.5,"Thriller, Crime",1994
The Other Guys,55.328,3321,6.3,"Comedy, Action, Crime",2010
Soul Surfer,55.316,1020,7.1,"Family, Drama",2011
Bāhubali: The Beginning,55.301,555,7.5,"Action, Drama",2015
Pokémon the Movie: The Power of Us,55.229,139,7,"Animation, Family, Adventure, Fantasy",2018
Schindler's List,55.225,12474,8.6,"Drama, History, War",1993
Noah,55.213,5292,5.6,"Drama, Adventure",2014
The Three Stooges,55.137,435,5.7,Comedy,2012
The Polar Express,55.134,5013,6.7,"Animation, Family, Adventure, Fantasy, Comedy",2004
Pokémon the Movie: Hoopa and the Clash of Ages,55.119,194,6.7,"Family, Adventure, Animation, Action, Fantasy",2015
Tall Girl,55.065,1578,6.4,"Comedy, Drama, Romance",2019
Shutter Island,55.023,19491,8.2,"Drama, Thriller, Mystery",2010
Seed of Chucky,54.999,1154,5.4,"Horror, Comedy",2004
House of the Witch,54.976,113,4.8,"Horror, TV Movie",2017
Freaks,54.974,822,6.8,"Science Fiction, Thriller, Drama, Mystery",2019
Mulan II,54.951,1929,6.5,"Animation, Comedy, Family, Action",2004
Madres,54.915,50,6.2,Horror,2021
Instructions for Su,54.907,76,7.9,"Comedy, Drama",2021
Kick-Ass,54.899,9966,7.1,"Action, Crime",2010
Enchanted,54.877,4515,6.8,"Comedy, Family, Fantasy, Romance",2007
The Watch,54.873,1905,5.5,"Comedy, Action, Science Fiction",2012
Sex and Lucía,54.84,386,6.6,"Drama, Romance",2001
Final Destination 2,54.819,3104,6.2,"Horror, Mystery",2003
Flipped,54.818,2050,7.9,"Romance, Drama",2010
Naruto: Guardians of the Crescent Moon Kingdom,54.766,235,7.1,"Adventure, Animation, Action",2006
Seeking Justice,54.742,808,5.9,"Action, Drama, Thriller",2011
The Losers,54.632,1399,6.3,"Action, Adventure, Crime, Mystery, Thriller",2010
Together Together,54.514,70,6.9,Comedy,2021
He's Just Not That Into You,54.498,3030,6.5,"Comedy, Romance, Drama",2009
The Man from Nowhere,54.492,956,7.7,"Action, Thriller, Crime",2010
Ocean's Thirteen,54.487,5196,6.7,"Crime, Thriller",2007
Paranormal Activity,54.486,4093,6,"Horror, Mystery",2007
Extraction,54.35,4369,7.4,"Drama, Action, Thriller",2020
Alvin and the Chipmunks: The Squeakquel,54.314,2350,5.6,"Comedy, Family, Animation, Fantasy, Music",2009
The Match,54.297,21,6.1,"Drama, History",2021
The Hating Game,54.241,298,7.6,"Comedy, Romance",2021
Mechanic: Resurrection,54.185,2696,5.9,"Action, Crime, Thriller",2016
A Dog Named Palma,54.137,122,8.4,"Family, Romance",2021
Pretty Woman,54.134,6268,7.4,"Romance, Comedy",1990
Warcraft,54.12,5675,6.3,"Action, Adventure, Fantasy",2016
Dora and the Lost City of Gold,54.107,1366,6.8,"Adventure, Comedy, Family",2019
Aliens vs Predator: Requiem,54.012,2144,5.1,"Fantasy, Action, Science Fiction, Thriller, Horror",2007
Tod@s Caen,53.988,419,7.7,Comedy,2019
The Addams Family,53.976,1734,6.7,"Family, Animation, Comedy",2019
The Adventures of Sharkboy and Lavagirl,53.952,1169,5.1,"Adventure, Family, Science Fiction",2005
Sicario: Day of the Soldado,53.927,2678,6.9,"Action, Crime, Drama, Thriller",2018
Wotakoi: Love is Hard for Otaku,53.814,37,7.1,"Comedy, Romance",2020
The Last Witch Hunter,53.805,3069,5.9,"Fantasy, Action, Adventure, Science Fiction",2015
Hannah Montana: The Movie,53.768,1712,6.6,"Comedy, Drama, Family, Music, Romance",2009
Chunin Exam on Fire! and Naruto vs. Konohamaru!,53.763,20,7.7,"Animation, Action",2011
Princess Protection Program,53.754,1472,6.6,"Family, TV Movie, Comedy, Drama",2009
Spider-Man 2,53.75,12315,7.2,"Action, Adventure, Fantasy",2004
How I Fell in Love with a Gangster,53.747,113,6.8,"Crime, Drama",2022
Sex and the City 2,53.747,1369,6.1,"Comedy, Drama, Romance",2010
The 5th Wave,53.719,5037,5.9,"Science Fiction, Adventure, Action",2016
Seventh Son,53.695,2139,5.5,"Adventure, Fantasy",2014
Saw IV,53.656,2878,6.1,"Horror, Thriller, Crime",2007
The Ten Commandments: The Movie,53.618,243,7.3,Drama,2016
Saw III,53.609,3450,6.4,"Horror, Thriller, Crime",2006
R.I.P.D.,53.6,3137,5.8,"Fantasy, Action, Comedy, Crime",2013
Kuroko's Basketball the Movie: Last Game,53.593,75,7.8,Animation,2017
War Room,53.592,351,7.9,"Drama, Romance",2015
Kizumonogatari Part 3: Reiketsu,53.544,136,8.1,"Animation, Fantasy, Mystery",2017
The Hand of God,53.536,1029,7.7,Drama,2021
Legally Blondes,53.5,212,5.6,Comedy,2009
LEGO Monkie Kid: A Hero Is Born,53.465,5,5.4,"Animation, TV Movie, Action, Comedy, Fantasy",2020
Hereditary,53.432,5610,7.2,"Horror, Mystery, Thriller",2018
Flora & Ulysses,53.402,179,6.6,"Family, Adventure, Comedy, Fantasy",2021
Here Today,53.319,93,7.4,"Comedy, Drama",2021
The Babysitter: Killer Queen,53.304,1046,6.5,"Comedy, Horror",2020
Evil Dead,53.261,3595,6.5,Horror,2013
Machete,53.258,2659,6.3,"Action, Comedy, Thriller",2010
Sputnik,53.249,454,6.5,"Science Fiction, Drama, Horror",2020
Hunter Killer,53.246,1660,6.8,"Action, Thriller",2018
Ballerina,53.187,1582,7.2,"Animation, Adventure, Comedy, Family",2016
Fantastic Four: Rise of the Silver Surfer,53.179,6657,5.6,"Adventure, Fantasy, Action, Thriller",2007
Flashback,53.157,182,6.5,"Thriller, Horror",2020
Friends with Benefits,53.144,6705,6.7,"Romance, Comedy",2011
War of Likes,53.125,224,7.8,Comedy,2021
Teenage Mutant Ninja Turtles: Out of the Shadows,53.121,2831,6,"Action, Adventure, Comedy, Family, Science Fiction",2016
The Revenant,53.111,15554,7.5,"Western, Drama, Adventure",2015
The Fault in Our Stars,53.11,9866,7.6,"Romance, Drama",2014
School-Live!,53.087,14,7.1,"Horror, Action",2019
Ella Enchanted,52.965,1524,6.4,"Family, Fantasy, Comedy",2004
Dead Heat,52.956,126,6,"Action, Horror, Science Fiction, Thriller",1988
Dumb and Dumber To,52.931,2625,5.5,Comedy,2014
Tinker Bell and the Pirate Fairy,52.89,777,6.8,"Animation, Family",2014
Tropic Thunder,52.883,4778,6.6,"Action, Comedy, Adventure, War",2008
Super Monsters: Once Upon a Rhyme,52.867,60,6.4,Animation,2021
The Last Survivors,52.818,162,6.3,"Horror, Thriller, Action",2014
Ghostbusters,52.817,7194,7.5,"Comedy, Fantasy",1984
The Mad Women's Ball,52.807,174,7.2,"Drama, Thriller, History",2021
The Jungle Book,52.796,7026,6.9,"Family, Adventure, Drama, Fantasy",2016
Naruto to Boruto: The Live 2019,52.778,20,6.6,Documentary,2019
Snow White and the Huntsman,52.777,6916,6,"Adventure, Fantasy, Drama",2012
The Princess Switch 3: Romancing the Star,52.763,279,7,"Romance, Comedy",2021
The Interview,52.761,4824,6.2,"Action, Comedy",2014
Marley & Me,52.759,3892,7.2,"Comedy, Family",2008
The Blind Side,52.743,4967,7.7,Drama,2009
The Imitation Game,52.741,14390,8,"History, Drama, Thriller, War",2014
Truth or Dare,52.706,3424,6,"Thriller, Horror",2018
The Angry Birds Movie,52.701,2948,6.2,"Animation, Adventure, Comedy",2016
Boyz n the Hood,52.687,1406,7.6,"Drama, Crime",1991
Friday the 13th,52.65,1977,5.8,Horror,2009
Bordello of Blood,52.626,270,5.9,"Horror, Comedy",1996
Pride & Prejudice,52.622,6348,8.1,"Drama, Romance",2005
The Lost City of Z,52.565,2315,6.4,"Adventure, Drama, History",2017
3 Idiots,52.46,1789,8,"Drama, Comedy",2009
The NeverEnding Story,52.458,3210,7.2,"Drama, Family, Fantasy, Adventure",1984
First Blood,52.454,4836,7.4,"Action, Adventure, Thriller, War",1982
The Terminator,52.452,10257,7.6,"Action, Thriller, Science Fiction",1984
365 Days,52.418,6540,7,"Drama, Romance",2020
The Jack in the Box,52.371,134,5.6,Horror,2019
Focus,52.358,6594,6.9,"Romance, Comedy, Crime, Drama",2015
Mean Girls,52.352,7066,7.2,Comedy,2004
Gods of Egypt,52.345,3399,5.6,"Action, Adventure, Fantasy",2016
Abominable,52.312,1594,7.6,"Family, Animation, Adventure, Comedy",2019
To All the Boys: Always and Forever,52.263,1522,7.7,"Romance, Comedy, Drama",2021
Endangered Species,52.255,109,6.1,"Thriller, Action",2021
Get Out,52.229,13883,7.6,"Mystery, Thriller, Horror",2017
Year One,52.174,1499,4.9,"Comedy, Adventure",2009
Ghost in the Shell,52.091,6942,6,"Science Fiction, Action",2017
Riddick,52.089,3378,6.3,"Science Fiction, Action, Thriller",2013
The Anthem of the Heart,52.066,284,7.6,"Animation, Drama, Music, Romance",2015
Barbie: A Fashion Fairytale,52.037,578,7.2,"Family, Animation",2010
Spy Kids 2: The Island of Lost Dreams,52.008,1740,5.6,"Action, Adventure, Family, Comedy",2002
Containment,51.99,148,5.9,"Thriller, Horror, Science Fiction",2015
Secret Magic Control Agency,51.959,224,7.2,"Animation, Comedy, Fantasy",2021
Rush Hour,51.951,3590,7,"Action, Comedy, Crime",1998
Outcast,51.919,370,5,Action,2014
The Legend of the Galactic Heroes: Die Neue These Seiran 1,51.869,13,8,"Animation, Science Fiction",2019
State of Play,51.845,1505,6.8,"Thriller, Drama",2009
Puff: Wonders of the Reef,51.844,52,7.8,Documentary,2021
Tracers,51.778,963,6,Action,2015
The Corpse of Anna Fritz,51.76,444,7,"Drama, Thriller",2015
Saw II,51.743,4109,6.6,Horror,2005
The Lone Ranger,51.712,5029,6.1,"Action, Adventure, Western",2013
Muppets Haunted Mansion,51.651,119,6.7,"Comedy, Family, TV Movie",2021
Jeepers Creepers 2,51.6,1184,6.1,Horror,2003
Blade,51.569,4692,6.7,"Horror, Action",1998
Elysium,51.533,7365,6.5,"Science Fiction, Action, Drama, Thriller",2013
Ride or Die,51.532,99,6.5,"Drama, Romance, Thriller",2021
Johnny English Reborn,51.514,2650,6.2,"Crime, Adventure, Action, Comedy, Thriller",2011
Barbie Fairytopia: Mermaidia,51.482,543,6.8,"Animation, Family, Adventure, Fantasy",2006
Insidious: Chapter 3,51.479,2704,6.3,"Horror, Drama, Thriller",2015
3096 Days,51.377,654,7.5,Drama,2013
Kiki's Delivery Service,51.313,2931,7.8,"Animation, Family, Fantasy, Adventure",1989
Little Man,51.301,1299,5.9,"Comedy, Crime",2006
Rambo III,51.288,2392,6.1,"Action, Adventure, Thriller, War",1988
Pitch Perfect 2,51.28,4734,6.9,"Comedy, Music",2015
Whiplash,51.21,11923,8.4,"Drama, Music",2014
Pan's Labyrinth,51.209,8780,7.7,"Fantasy, Drama, War",2006
No Game No Life: Zero,51.181,275,7.9,"Animation, Action, Drama",2017
Justice League: Doom,51.175,653,7.5,"Action, Animation, Science Fiction",2012
The Smurfs,51.168,3102,5.8,"Animation, Family, Adventure, Comedy, Fantasy",2011
Missing Link,51.162,658,7,"Family, Animation, Comedy, Adventure, Fantasy",2019
Matilda,51.131,3452,7.1,"Comedy, Family, Fantasy",1996
The Devil's Advocate,51.12,4576,7.4,"Drama, Mystery, Thriller, Horror",1997
Sin City: A Dame to Kill For,51.117,3145,6.4,"Crime, Action, Thriller",2014
The Medium,51.095,254,7.1,"Horror, Thriller",2021
Jeepers Creepers,51.089,2211,6.4,"Horror, Thriller",2001
Contraband,51.037,1702,6.3,"Thriller, Action, Drama, Crime",2012
The Chronicles of Narnia: The Voyage of the Dawn Treader,51.025,4636,6.4,"Adventure, Family, Fantasy",2010
Black Fox,51,20,7,"Animation, Action, Drama, Science Fiction",2019
Barbie in the Nutcracker,50.982,849,6.8,"Animation, Family",2001
Belfast,50.971,414,7.2,Drama,2021
Stillwater,50.96,556,6.8,"Drama, Crime, Thriller",2021
Rush Hour 2,50.914,3097,6.7,"Action, Comedy, Crime",2001
The Night House,50.912,531,6.7,"Horror, Thriller, Mystery",2021
Fate/kaleid liner Prisma☆Illya: Vow in the Snow,50.903,17,6.8,"Action, Animation, Drama, Fantasy",2017
Gold,50.854,114,6.5,"Thriller, Action",2022
Once Upon a Time… in Hollywood,50.814,10138,7.4,"Comedy, Drama, Thriller",2019
Bedtime Stories,50.812,2347,6.1,"Fantasy, Comedy, Family, Romance",2008
The Wild,50.798,824,5.5,"Family, Animation",2006
Once Upon a Deadpool,50.783,555,7.1,"Comedy, Action",2018
Easy A,50.759,5855,6.8,Comedy,2010
Spider-Man,50.753,77,5.5,"Science Fiction, Action, Crime, TV Movie",1977
Deep,50.744,68,6.4,"Science Fiction, Thriller",2021
God's Not Dead 2,50.742,318,6.1,Drama,2016
Valerian and the City of a Thousand Planets,50.723,6279,6.6,"Adventure, Science Fiction, Action",2017
I Am All Girls,50.709,188,6.7,"Crime, Drama, Mystery, Thriller",2021
Whisper of the Heart,50.704,1394,7.9,"Animation, Drama, Family",1995
Parker,50.696,2543,6,"Action, Crime",2013
Gangubai Kathiawadi,50.682,17,8.2,"Crime, Drama",2022
Rush Hour 3,50.569,2413,6.4,"Action, Comedy, Crime",2007
Moxie,50.487,610,7.4,"Comedy, Drama, Music",2021
Transformers: Beginnings,50.484,204,6.9,"Animation, Action, Thriller, Science Fiction",2006
The Guilty,50.423,1533,6.4,"Drama, Thriller",2021
Catch Me If You Can,50.341,12227,8,"Drama, Crime",2002
Undisputed,50.314,526,6.5,"Action, Adventure, Drama, Thriller",2002
Empire State,50.286,545,5.3,"Action, Drama",2013
Hostel: Part II,50.259,1540,5.8,Horror,2007
10.0 Earthquake,50.233,87,4.9,"Drama, Adventure, Action",2014
A Walk to Remember,50.217,3453,7.7,"Drama, Romance",2002
Hellboy II: The Golden Army,50.211,4207,6.7,"Action, Adventure, Mystery, Fantasy",2008
Funny People,50.176,1014,5.8,"Comedy, Drama",2009
Dragon Ball: Episode of Bardock,50.149,303,6.8,"Action, Animation, Science Fiction",2011
Akira,50.144,3022,8,"Animation, Science Fiction, Action",1988
Minions: The Rise of Gru,50.118,0,0,"Family, Animation, Action, Adventure, Comedy",2022
The Ugly Truth,50.063,2938,6.5,"Comedy, Romance",2009
The Cat in the Hat,50.026,1288,5.3,"Comedy, Adventure, Family, Fantasy",2003
Virgin Territory,49.99,234,4.5,"Adventure, Action, Comedy, Romance",2007
(500) Days of Summer,49.96,8198,7.3,"Comedy, Drama, Romance",2009
The Protector,49.915,620,7.1,"Action, Crime, Drama, Thriller",2005
Project Almanac,49.903,2081,6.6,"Science Fiction, Thriller, Drama",2015
Respect,49.887,178,6.7,"Music, Drama, History",2021
Fences,49.837,2137,6.8,Drama,2016
Midway,49.811,1808,7.1,"War, History, Action, Drama",2019
Leatherface,49.774,971,5.5,"Horror, Thriller, Mystery",2017
The Next Three Days,49.733,2311,7.1,"Romance, Drama, Thriller, Crime",2010
Twilight,49.714,15,6.5,"Animation, Drama",2019
John and the Hole,49.709,28,6.1,"Thriller, Drama, Mystery",2021
Fireproof,49.679,503,7.4,"Drama, Romance",2008
Paul Blart: Mall Cop,49.675,2017,5.4,"Action, Adventure, Comedy, Family",2009
Spy Kids 3-D: Game Over,49.656,1764,5.1,"Action, Adventure, Comedy, Family, Science Fiction",2003
The Ogglies: Welcome to Smelliville,49.618,43,7.3,"Animation, Drama, Adventure, Family",2021
"Diego, The Last Goodbye",49.606,2,6,Documentary,2021
Barbie of Swan Lake,49.588,898,7,"Animation, Family",2003
Dragons: Dawn Of The Dragon Racers,49.56,265,7.2,"Animation, Family, Adventure, Comedy, Fantasy",2014
Fearless,49.521,971,7.5,"Drama, Action",2006
The Fourth Musketeer,49.462,1,6,"Action, Adventure",2022
Shaolin Soccer,49.401,1633,7,"Action, Comedy",2001
Chinese Zodiac,49.395,630,6.2,"Action, Adventure",2012
Halloween,49.34,3748,6.5,"Horror, Thriller",2018
The Forgotten Battle,49.317,359,7.2,"War, History, Drama",2021
The Hunchback of Notre Dame,49.284,4118,7.1,"Drama, Animation, Family",1996
Scandalous Sex,49.273,77,7.2,Drama,2004
Tower Heist,49.227,2385,6,"Action, Comedy",2011
Princess Mononoke,49.163,6148,8.4,"Adventure, Fantasy, Animation",1997
Pet Sematary,49.148,2643,5.7,"Horror, Thriller",2019
Don't Listen,49.134,561,6.5,"Drama, Horror, Thriller",2020
The Addams Family,49.114,3545,7,"Comedy, Fantasy",1991
Kids Are Back,49.101,43,5.1,Comedy,2021
Tinker Bell and the Legend of the NeverBeast,49.075,761,7.1,"Adventure, Animation, Family",2014
The Texas Chainsaw Massacre 2,49.066,585,5.6,"Comedy, Horror",1986
Mermaid Down,49.057,229,6.7,"Horror, Fantasy, Mystery, Thriller",2019
Crystal Skulls,49.02,20,4.8,"Adventure, Science Fiction, TV Movie",2014
Crazy About Her,48.978,363,7.2,"Comedy, Romance",2021
"The Gangster, the Cop, the Devil",48.978,497,7.7,"Crime, Action, Adventure",2019
The Flintstones,48.973,1953,5.3,"Fantasy, Comedy, Family",1994
London Has Fallen,48.967,3894,6.1,"Action, Thriller",2016
Rurouni Kenshin Part I: Origins,48.966,571,7.6,"Adventure, Action, Drama, History",2012
Saw 3D,48.956,2303,6,"Horror, Crime",2010
King Arthur: Legend of the Sword,48.942,4799,6.5,"Action, Drama, Fantasy",2017
Initiation,48.939,72,5.7,"Horror, Mystery",2020
The Christmas Chronicles: Part Two,48.904,749,6.6,"Family, Fantasy, Adventure, Comedy",2020
Men in Black: International,48.89,3839,6,"Comedy, Science Fiction",2019
American Psycho,48.874,7608,7.4,"Thriller, Drama, Crime, Horror",2000
I Spit on Your Grave 2,48.865,981,6.3,"Thriller, Horror, Crime",2013
Hole in One,48.844,80,4.1,Comedy,2009
A Babysitter's Guide to Monster Hunting,48.823,232,6.2,"Family, Fantasy, Adventure, Comedy",2020
Insidious: Chapter 2,48.789,3337,6.7,"Horror, Thriller",2013
Into the White,48.761,232,6.9,"War, Action, Drama",2012
Ladybug & Cat Noir: Awakening,48.706,0,0,"Action, Animation, Adventure, Fantasy, Music",2022
Bad Boys II,48.663,4370,6.6,"Adventure, Action, Comedy, Thriller, Crime",2003
Cult of Chucky,48.662,879,5.8,"Horror, Thriller",2017
The Change-Up,48.661,2218,6.1,Comedy,2011
The Godfather: Part III,48.643,4777,7.4,"Crime, Drama, Thriller",1990
Life of Pi,48.613,11391,7.4,"Adventure, Drama, Action",2012
In the Name of the King 2: Two Worlds,48.607,98,3.9,"Adventure, Fantasy, Drama, Action",2011
Full Metal Jacket,48.573,8349,8.1,"Drama, War",1987
Justice League vs. Teen Titans,48.531,684,7.4,"Science Fiction, Action, Animation",2016
Street Gang: How We Got to Sesame Street,48.486,13,6.7,Documentary,2021
Facing the Giants,48.469,302,7.5,Drama,2006
Woody Woodpecker,48.365,576,6.7,"Comedy, Family, Animation",2017
Jojo Rabbit,48.361,7159,8.1,"Comedy, War, Drama",2019
Black Box,48.319,369,6.5,"Horror, Science Fiction, Thriller",2020
Tooth Fairy,48.314,1657,5.5,"Comedy, Family, Fantasy",2010
Finding Dory,48.31,10448,7,"Adventure, Animation, Comedy, Family",2016
Alvin and the Chipmunks: The Road Chip,48.286,1342,6,"Adventure, Animation, Comedy, Family",2015
Daisy Quokka: World’s Scariest Animal,48.282,52,6.9,"Animation, Comedy, Family",2021
The Fox and the Hound,48.282,2628,7.1,"Adventure, Animation, Drama, Family",1981
Bright: Samurai Soul,48.275,34,6,"Animation, Action, Fantasy",2021
Batman,48.251,625,6.3,"Family, Adventure, Comedy, Science Fiction, Crime",1966
The Mummy: Tomb of the Dragon Emperor,48.244,3630,5.4,"Adventure, Action, Fantasy",2008
Dead Silence,48.242,1765,6.4,Horror,2007
8-Bit Christmas,48.223,200,6.5,"Family, Comedy",2021
Dragonheart 3: The Sorcerer's Curse,48.137,200,5.4,Fantasy,2015
The Pursuit of Happyness,48.114,8072,7.9,Drama,2006
Mission: Impossible - Rogue Nation,48.086,7178,7.2,"Action, Adventure",2015
A Nightmare on Elm Street,48.07,3877,7.3,Horror,1984
Killer Elite,48.05,1700,6.3,"Action, Adventure, Thriller",2011
King Kong,48.041,6463,6.8,"Adventure, Drama, Action",2005
300,47.962,11481,7.2,"Action, Adventure, War",2007
Drive My Car,47.942,290,7.6,Drama,2021
Superman,47.937,2950,7.1,"Science Fiction, Action, Adventure",1978
Star Wars: Episode II - Attack of the Clones,47.917,10781,6.5,"Adventure, Action, Science Fiction",2002
Home Alone 3,47.907,2402,5.3,"Comedy, Family",1997
No Good Deed,47.905,524,6,"Crime, Thriller",2014
We Broke Up,47.816,20,6.1,Comedy,2021
Barbie in A Mermaid Tale,47.799,573,7.2,"Animation, Family, Fantasy",2010
The Day,47.777,193,5.1,"Action, Drama, Horror, Science Fiction",2011
Predator 2,47.765,2291,6.2,"Science Fiction, Action, Thriller",1990
Tomorrowland,47.761,6056,6.2,"Adventure, Family, Mystery, Science Fiction",2015
Addams Family Values,47.707,2242,6.9,"Comedy, Family, Fantasy",1993
Don't Blame the Kid,47.705,509,7.7,"Comedy, Romance",2016
The Empire of Corpses,47.691,70,6.1,"Animation, Mystery, Horror, Science Fiction",2015
Star Trek Into Darkness,47.689,7899,7.3,"Action, Adventure, Science Fiction",2013
The Walking Dead: The Journey So Far,47.665,12,7.1,Documentary,2016
Pandemic,47.651,260,5,"Action, Science Fiction, Horror",2016
The Hills Have Eyes,47.613,2289,6.4,"Horror, Thriller",2006
Operation Merry Christmas: The Elf Con,47.598,28,7,"Comedy, Crime",2021
Edward Scissorhands,47.581,10715,7.7,"Fantasy, Drama, Romance",1990
Justice League: The Flashpoint Paradox,47.571,1407,7.9,"Science Fiction, Animation, Action, Adventure",2013
The Ridiculous 6,47.54,1107,5.2,"Western, Comedy",2015
"Tad, the Lost Explorer",47.538,413,6,"Animation, Comedy, Adventure, Family",2012
Rocky II,47.538,3319,7.2,Drama,1979
Friends: The Reunion,47.536,814,8.1,Documentary,2021
Independence Day,47.536,7896,6.8,"Action, Adventure, Science Fiction",1996
Being the Ricardos,47.506,307,6.6,"Drama, History",2021
American Wedding,47.448,3356,6.2,"Comedy, Romance",2003
Braveheart,47.357,8195,7.9,"Action, Drama, History, War",1995
Cloverfield,47.345,5745,6.6,"Action, Thriller, Science Fiction",2008
Barbie in A Mermaid Tale 2,47.32,344,7,"Animation, Family",2012
Earwig and the Witch,47.305,140,6.1,"Animation, Fantasy, Family",2021
Miracle in Cell No. 7,47.263,3872,8.3,"Drama, Comedy, Family",2019
Diary of a Nymphomaniac,47.237,232,5.5,"Drama, Romance",2008
Casper,47.232,3789,6.3,"Fantasy, Comedy, Family",1995
Heat,47.195,5358,7.9,"Action, Crime, Drama, Thriller",1995
Lokillo: Nothing's the Same,47.186,15,7.8,Comedy,2021
Batman vs. Robin,47.178,697,7.3,"Science Fiction, Action, Adventure, Animation",2015
The Intern,47.153,5473,7.2,Comedy,2015
Skyscraper,47.068,4082,6.3,"Action, Thriller",2018
The Smurfs 2,47.054,1801,5.8,"Fantasy, Family, Comedy, Animation",2013
The BFG,47.022,2791,6.2,"Adventure, Family, Fantasy",2016
Spies in Disguise,46.984,2202,7.7,"Animation, Action, Adventure, Comedy, Family",2019
Assassin's Creed,46.899,6719,5.4,"Action, Adventure, Science Fiction",2016
